Symbol;Opis pola;Jednostka
B400F00200;Ciśnienie minutowe-synop;hPa
B403F00200;Trend minutowy ciśnienia-synop;hPa
B404F00200;Liczba czujników ciśnienia-synop;
B405F00200;Maksymalna odchyłka między czujnikami-synop;
B100E00200;Temperatura powietrza chwilowa-synop;C
B100E002AH;Temperatura powietrza minimalna za ostatnie 12 h-synop;C
B100E002BH;Temperatura powietrza maksymalna za ostatnie 12 h-synop;C
B110E00200;Temperatura gruntu chwilowa-synop;C
B110E002AH;Temperatura gruntu minimalna za ostatnie 12 h-synop;C
B110E002BH;Temperatura gruntu maksymalna za ostatnie 12 h-synop;C
B500E00200;Wilgotność względna chwilowa-synop;%
B201E002C2;Kierunek wiatru średni za ostatnie 2 min.-synop;st. kąta
B201E002A2;Kierunek wiatru minimalny za ostatnie 2 min.-synop;st. kąta
B201E002B2;Kierunek wiatru maksymalny za ostatnie 2 min.-synop;st. kąta
B201E002C1;Kierunek wiatru średni za ostatnie 10 min.-synop;st. kąta
B201E002A1;Kierunek wiatru minimalny za ostatnie 10 min.-synop;st. kąta
B201E002B1;Kierunek wiatru maksymalny za ostatnie 10 min.-synop;st. kąta
B200E002C2;Prędkość wiatru średnia za ostatnie 2 min.-synop;m/s
B200E002A2;Prędkość wiatru minimalna za ostatnie 2 min.-synop;m/s
B200E002B2;Prędkość wiatru maksymalna za ostatnie 2 min.-synop;m/s
B200E002C1;Prędkość wiatru średnia za ostatnie 10 min.-synop;m/s
B200E002A1;Prędkość wiatru minimalna za ostatnie 10 min.-synop;m/s
B200E002B1;Prędkość wiatru maksymalna za ostatnie 10 min.-synop;m/s
B400E00200;Ciśnienie atmosferyczne obserwowane-synop;hPa
B600K00200;Suma opadu SEBA za 1 min-synop;mm
B600K002FG;Suma opadu SEBA za 1h-synop;mm
B600K002FS;Suma opadu SEBA za 6h-synop;mm
B600K002FH;Suma opadu SEBA za 12h-synop;mm
B600K002FD;Suma opadu SEBA za 24h-synop;mm
B610E002C1;Średnia widzialność pozioma za 10 minut-synop;
B610E002AG;Minimalna widzialność pozioma za ostatnia godzinę-synop;
B612E00200;Kod pogody bieżącej-synop;
B650E002FG;Suma opadu śniegu za ostatnią godzinę-synop;mm
B600E002FG;Suma opadu za ostatnią godzinę-synop;mm
B601E002FG;Czas trwania opadu za ostatnią godzinę-synop;minuta
B601E002FD;Czas trwania opadu za ostatnie 24 h-synop;minuta
B690E002FG;Czas trwania usłonecznienia za ostatnią godzinę-synop;minuta
B691E00200;Czas trwania usłonecznienia od godz. 00 UTC-synop;J/cm2
B690E002FD;Czas trwania usłonecznienia za ostatnią dobę-synop;minuta
B308B00200;Status czujnika podstawy chmur-synop;
B301B00200;Chmury grupa 1 - podstawa-synop;
B302B00200;Chmury grupa 2 - podstawa-synop;
B303B00200;Chmury grupa 3 - podstawa-synop;
B611B00200;Widzialność pionowa-synop;
B118E00200;Status czujnika temperatury gruntu-synop;
B110B00200;Temperatura na 5 cm n.p.g.-synop;C
B101B00200;Temperatura gruntu na 0 cm-synop;C
B111E00200;Temperatura gruntu na głębokości 5 cm-synop;C
B112E00200;Temperatura gruntu na głębokości 10 cm-synop;C
B113E00200;Temperatura gruntu na głębokości 20 cm-synop;C
B114E00200;Temperatura gruntu na głębokości 50 cm-synop;C
B115E00200;Temperatura gruntu na głębokości 100 cm-synop;C
B100B008BD;Maksymalna temperatura powietrza-doba-synop;C
B100B008AD;Minimalna temperatura powietrza-doba-synop;C
B100B008CD;Średnia temperatura powietrza-doba-synop;C
B110B008AD;Minimalna temperatura przy powierzchni gruntu-doba-synop;C
B600B008FD;Suma opadu - deszcz-doba-synop;mm
B650B008FD;Suma opadu - śnieg-doba-synop;mm
B690B00800;Suma usłonecznienia-doba-synop;godzina
B661B00800;Czas trwania: Deszcz-doba-synop;godzina
B662B00800;Czas trwania: Śnieg-doba-synop;godzina
